product_code,size_value,color_value,option_name
1904183900,FR,체리브라운,체리브라운/FR
1904183902,FR,체리브라운,체리브라운/FR
1904183903,FR,체리브라운,체리브라운/FR
1904183905,FR,체리브라운,체리브라운/FR
1904184181,XS,더스트핑크,더스트핑크/XS
1904184181,S,더스트핑크,더스트핑크/S
1904184181,M,더스트핑크,더스트핑크/M
1904184181,L,더스트핑크,더스트핑크/L
1905185231,F,아이콘,아이콘/F
1905185231,F,트루스,트루스/F
1905185231,F,스트라이크,스트라이크/F
1905185231,F,캔버스,캔버스/F
1905185231,F,차일드,차일드/F
1905185231,F,앤첸트,앤첸트/F
1905185231,F,프로스,프로스/F
1905185231,F,서브라임,서브라임/F
1905185231,F,피버,피버/F
1905185231,F,임팩트,임팩트/F
1905185231,F,프로보크,프로보크/F
1905185737,FREE,로즈 골드,로즈 골드/FREE
1905186134,FR,내추럴,내추럴/FR
1905186135,FR,내추럴,내추럴/FR
1905186136,FR,내추럴,내추럴/FR
1905186137,FR,내추럴,내추럴/FR
1905186138,FR,내추럴,내추럴/FR
1905186139,FR,내추럴,내추럴/FR
1905186140,원형,내추럴,내추럴/원형
1905186151,FR,그레이,그레이/FR
1905186249,FR,화이트,화이트/FR
1905186250,FR,화이트,화이트/FR
1905186334,S,블랙,블랙/S
1905186336,Free,블랙,블랙/Free
1905186389,S,블루,블루/S
1905186508,M,오프 화이트,오프 화이트/M
1905186508,M,인디고,인디고/M
1905186508,M,오트밀,오트밀/M
1905186508,L,오프 화이트,오프 화이트/L
1905186508,L,인디고,인디고/L
1905186508,L,오트밀,오트밀/L
1905186508,XL,오프 화이트,오프 화이트/XL
1905186508,XL,인디고,인디고/XL
1905186508,XL,오트밀,오트밀/XL
1905187260,FR,화이트,화이트/FR
1905189047,FR,블랙,블랙/FR
1905189048,FR,블루,블루/FR
1905189165,FR,블랙,블랙/FR
1906189908,S,블루,블루/S
1906189908,L,블루,블루/L
1906189911,S,그린,그린/S
1906189911,L,그린,그린/L
1906189914,S,스카이블루,스카이블루/S
1906189914,L,스카이블루,스카이블루/L
1906189915,S,옐로우,옐로우/S
1906189915,L,옐로우,옐로우/L
1906189917,S,오렌지,오렌지/S
1906189917,L,오렌지,오렌지/L
1906189938,FR,라이트 그레이,라이트 그레이/FR
1906189939,FR,실버,실버/FR
1906189940,FR,실버,실버/FR
1906190203,(L),로즈 골드,로즈 골드/(L)
1906190204,9,로즈 골드,로즈 골드/9
1906190204,11,로즈 골드,로즈 골드/11
1906190204,13,로즈 골드,로즈 골드/13
1906190222,L,로즈 골드,로즈 골드/L
1906190255,FR,화이트,화이트/FR
1906190274,FR,투명,투명/FR
1906190275,FR,투명,투명/FR
1906190282,FR,화이트,화이트/FR
1906190283,FR,실버,실버/FR
1906190805,650ml,투명,투명/650ml
1906190807,150ml,투명,투명/150ml
